,user_names,text
0,TomColeOK04,Today we celebrate the tremendous contributions of America's dynamic workforce today and throughout our history. Happy #LaborDay! https://t.co/Jyc8kCwXL9
1,TomColeOK04,"#OnThisDay 77 years ago, Imperial Japan surrendered to the Allied forces in World War II. On this #VictoryOverJapanDay, we commemorate our final triumph that led to the end of World War II, the most profound and deadliest war in history. https://t.co/xHmifTaoZr"
2,TomColeOK04,".@POTUS' plan to unilaterally erase a wide swath of federal student loan debts is unfair to millions of Americans who don't have loans or already paid them off, &amp; it will also add hundreds of billions of dollars more to the national debt.

Read more ⬇
https://t.co/PB6dOYgTzs"
3,TomColeOK04,"One year ago today, 13 American heroes lost their lives while selflessly guiding others to safety in Afghanistan. We continue to grieve with their families, who, more than anyone else, deserve answers about the president's disastrous decision to withdraw U.S. forces then. https://t.co/BomPLOmDXU"
4,TomColeOK04,"Happy birthday @NatlParkService! For 106 years, this agency has ensured our national parks remain pristine &amp; public. Throughout National Parks &amp; Recreation Month, I hope you can visit one of Oklahoma's six national parks, which you can find here: https://t.co/sQZkFZwbct https://t.co/YMNcIhqrLB"
5,TomColeOK04,".@POTUS' move to cancel college debt that individuals voluntarily chose to undertake is a monumentally bad policy that will benefit the few at the expense of the many. That is exactly the opposite of what the country should be doing.

My full statement ⬇️ 
https://t.co/jO2r05eFus"
6,TomColeOK04,RT @CongressionalAC: .@TomColeOK04 recognizes the App Challenge's potential to inspire students in his district to pursue careers in STEM.…
7,TomColeOK04,"The aftermath of @POTUS' decision to withdraw all remaining U.S. troops from Afghanistan a year ago this month was nothing short of disastrous, &amp; the devastation &amp; consequences of this foreign policy failure remain today.

Read more in my column ⬇️
https://t.co/08fXMNWPwf"
8,TomColeOK04,"As we celebrate 10 years of @AF_Sustainment at #OK04's @Team_Tinker this year, we also congratulate Lt. Gen. Tom Miller, current AFSC commander, on his next endeavor in Washington, D.C. leading the AFSC in Air Force Materiel Command. #FourthDistrictFriday
https://t.co/8qyVtNtOid"
9,TomColeOK04,"#OnThisDay in 1920, the ratification of the #19thAmendment officially gave women the right to vote in America. Today we recognize the women who led the suffrage movement, &amp; we celebrate the continued contributions of women in this country."
10,TomColeOK04,"ICYMI: Now until October 7, my office is accepting applications from #OK04 high school seniors seeking nomination for potential appointment to one of the U.S. military service academies.

More info &amp; FAQs  ⬇
https://t.co/svvdnsVgpk"
11,TomColeOK04,"ICYMI: I hosted a telephone town hall this week for #OK04 constituents. During the call, I answered questions on a variety of issues including legislation in Congress, the border crisis &amp; much more. 

Listen to the full audio ⬇
https://t.co/i7UidaUqFp"
12,TomColeOK04,"American control over our supply chains is not just an economic issue, it is one of national security. We must make a concerted effort to transition our supply chains back to the U.S. or the consequences to our nation could be disastrous.

More ⬇
https://t.co/Y50RrkJpiA"
13,TomColeOK04,"Don't forget! I am hosting an hourlong telephone town hall for #OK04 constituents TONIGHT.

How to join:
🗓 Monday, August 15 at 6:00pm CT
📞 Dial-in #: (833) 305-1727
💻 Sign up to be called or listen online: https://t.co/exoYZXWhDd"
14,TomColeOK04,"Today I made remarks in opposition to Democrats' partisan tax-and-spend reconciliation package that came before the House as the result of a lousy process, wrongly raises taxes on Americans during a recession &amp; calls for the IRS to hire 87,000 new agents.

Watch below. https://t.co/XMdOib4yVT"
15,TomColeOK04,"RT @RulesReps: STARTING SOON: The committee will meet to consider the Senate Amendment to H.R. 5376. 

📺 Watch live: https://t.co/7aV4aiX7LU"
16,TomColeOK04,"ICYMI: Next week, I am hosting an hourlong telephone town hall for #OK04 constituents!

How to join:
🗓 Monday, August 15 at 6pm CT
📞 Dial-in #: (833) 305-1727
💻 Sign up to be called or listen online: https://t.co/exoYZXWhDd"
17,TomColeOK04,"Although Democrats introduced &amp; passed in the Senate their deceptively named “Inflation Reduction Act,” this bill would instead do the exact opposite of what it is named to do.

More ⬇
https://t.co/YMrFRGOwU1"
18,TomColeOK04,"On #NationalPurpleHeartDay &amp; every day, we thank those in our nation's armed forces who put themselves in harm’s way to keep us safe at home. As we think of those who were wounded or made the ultimate sacrifice on the battlefield, let us remember that freedom is not free. https://t.co/JsMI2ZXeET"
19,TomColeOK04,"Happy 232nd birthday to the @USCG! Since 1790, the Coast Guard has defended our nation’s borders from adversaries that try to threaten our way of life. From combating pirates &amp; curbing drug trafficking, thank you to the many brave Coast Guardsmen who answer the call. https://t.co/NEo6YYWV46"
20,TomColeOK04,"I am stunned &amp; heartbroken to learn about the tragic passing of my friend &amp; colleague @RepWalorski along with two dedicated members of her staff, Emma Thomson &amp; Zachery Potts. My sincerest prayers are with the family, friends &amp; many loved ones grieving this devastating loss."
21,TomColeOK04,"HAPPENING TONIGHT: Don't forget to tune in to my hourlong telephone town hall for #OK04 constituents this evening!

How to join:
🗓 Wednesday, August 3 at 6pm CT
📞 Dial-in #: (833) 305-1727
💻 Sign up to be called or listen online: https://t.co/exoYZXWhDd"
